 Name                                     Version      License                                                      
 strands-agents                           1.15.0       Apache Software License                                      
 strands-agents-tools                     0.2.19       Apache Software License                                      
 sympy                                    1.14.0       BSD License                                                  
 tenacity                                 9.1.2        Apache Software License                                      
 tinycss2                                 1.4.0        BSD License                                                  
 tomli                                    2.4.0        MIT                                                          
 tomli_w                                  1.2.0        MIT License                                                  
 tornado                                  6.5.5        Apache Software License                                      
 tqdm                                     4.67.1       MIT License; Mozilla Public License 2.0 (MPL 2.0)            
 traitlets                                5.14.3       BSD License                                                  
 typeguard                                2.13.3       MIT License                                                  
 typer                                    0.20.0       MIT License                                                  
 typing-inspection                        0.4.2        MIT                                                          
 typing_extensions                        4.15.0       PSF-2.0                                                      
 urllib3                                  2.5.0        MIT                                                          
 uvicorn                                  0.38.0       BSD-3-Clause                                                 
 watchdog                                 6.0.0        Apache Software License                                      
 webencodings                             0.5.1        BSD License                                                  
 websocket-client                         1.9.0        Apache Software License                                      
 websockets                               15.0.1       BSD License                                                  
 wrapt                                    1.17.3       BSD License                                                  
 yarg                                     0.1.9        MIT License                                                  
 yarl                                     1.22.0       Apache Software License                                      
 zipp                                     3.23.0       MIT                                                          
